menu_open_button,오라 설정
window_title,오라 설정
window_title_with_tier,오라 설정 — 등급 {0} {1}
window_close,창 닫기
preview_zoom,확대
preview_reset_view,정면
preview_no_weapon,무기를 들면 표시됩니다
preview_no_model,플레이어 모델을 찾지 못했습니다
preview_no_parts,무기 부품을 찾지 못해 모델만 표시합니다
preview_no_silhouette,이 무기는 실루엣을 만들 수 없습니다
preview_error,미리보기 오류
tier_section_label,등급 선택
tier_follow_weapon,현재 무기 티어 따라가기
tier_follow_state,무기 따라감
tier_manual_state,직접 선택
tier_applies_to_held,→ 든 무기에도 바로 반영됩니다
tier_preview_only,→ 지금은 미리보기에만 반영됩니다
status_weapon,무기: {0}
status_grade,무기 등급 {0}
status_editing,편집 중: 등급 {0} ({1})
section_color_inner,색상 A — 안쪽
section_color_outer,색상 B — 바깥쪽
section_shape,밝기와 형태
section_waves,동심원 물결
section_display,표시 설정
field_alpha,투명도
field_intensity,색 강도
field_layers,겹 수
field_spread,뻗는 거리
field_wave_count,물결 개수
field_wave_speed,물결 속도
field_period,맥동 주기
field_wobble,일렁임
display_strength,세기
display_subtle,약하게
display_normal,보통
display_intense,강하게
action_save,저장하기
action_random,랜덤
action_reset_defaults,기본값 복원
action_saved,저장했습니다. 다음 실행 때 자동으로 적용됩니다.
action_save_failed,저장에 실패했습니다.
action_random_applied,등급 {0}에 랜덤 조합을 적용했습니다 (시드 {1}).
action_reset_done,기본값으로 되돌렸습니다. 저장해야 유지됩니다.
display_tier_on,이 티어에 오라 켜기
display_tier_off,이 티어에 오라 끄기
display_tier_disabled_notice,이 등급 무기에는 오라가 표시되지 않습니다.
tier_grade_field,등급
tier_add,+ 티어 추가
tier_remove,티어 삭제
tier_added,등급 {0} 티어를 추가했습니다. 저장해야 유지됩니다.
tier_removed,등급 {0} 티어를 삭제했습니다. 저장해야 유지됩니다.
tier_duplicate,등급 {0} 티어는 이미 있습니다.
tier_invalid_grade,등급 값을 숫자로 입력해 주세요.
tier_builtin_locked,기본 티어는 삭제할 수 없습니다.
tier_out_of_range,등급 값은 0~{0} 사이여야 합니다.
section_particles,파티클과 잔상
field_emission_rate,파티클 양
field_particle_size,파티클 크기
field_particle_lifetime,파티클 수명
field_trail_on,잔상 켜기
field_trail_off,잔상 끄기
field_trail_length,잔상 길이
field_trail_width,잔상 굵기
section_presets,속성 템플릿
preset_aurora,오로라
preset_fire,화염
preset_frost,냉기
preset_toxic,독
preset_void,공허
preset_shock,전격
preset_holy,신성
preset_blood,혈기
preset_arcane,비전
preset_plasma,플라즈마
preset_nature,자연
preset_shadow,그림자
preset_applied,등급 {0}에 "{1}" 템플릿을 적용했습니다.
window_title_trail,탄환 잔상 — 등급 {0} {1}
tab_aura,무기 오라
tab_trail,탄환 잔상
trail_section_grade,탄환 등급 선택
trail_follow_ammo,장착 탄환 등급 따라가기
trail_follow_state,탄환 따라감
trail_manual_state,직접 선택
trail_applies_to_loaded,→ 지금 장착한 탄환에 바로 반영됩니다
trail_preview_only,→ 지금은 미리보기에만 반영됩니다
trail_status_ammo,탄환: {0}
trail_status_grade,탄환 등급 {0}
trail_status_no_ammo,탄환 없음 (총을 들고 장전하면 표시됩니다)
trail_status_editing,편집 중: 등급 {0} ({1})
trail_on,탄환 잔상 켜기
trail_off,탄환 잔상 끄기
trail_off_notice,탄환 잔상이 꺼져 있습니다
trail_scope,적용 대상
trail_scope_player,내 총알
trail_scope_everyone,모든 총알
trail_hide_vanilla_on,게임 기본 궤적 숨기기
trail_hide_vanilla_off,게임 기본 궤적 보이기
trail_grade_on,이 등급 잔상 켜기
trail_grade_off,이 등급 잔상 끄기
trail_grade_disabled_notice,이 등급 탄환에는 잔상이 그려지지 않습니다
trail_section_color_head,잔상 색 — 앞쪽 (총알 쪽)
trail_section_color_tail,잔상 색 — 뒤쪽 (사라지는 쪽)
trail_section_shape,잔상 모양
trail_style_line,잔상 방식: 선
trail_style_stamp,잔상 방식: 자국
trail_section_stamp,자국 (잔상 방식: 자국)
trail_field_stamp_shape,자국 · 모양
trail_field_stamp_rate,자국 · 1m당 개수
trail_field_stamp_size,자국 · 크기
trail_field_stamp_life,자국 · 지속시간
trail_apply_shape_head,머리 모양으로 쓰기
trail_apply_shape_stamp,자국 모양으로 쓰기
trail_field_length,잔상 · 길이
trail_field_start_width,잔상 · 앞 굵기
trail_field_end_width,잔상 · 뒤 굵기
trail_field_alpha,잔상 · 투명도
trail_field_intensity,잔상 · 밝기
trail_glow_on,잔상 발광: 꺼짐 → 켜기
trail_glow_off,잔상 발광: 켜짐 → 끄기
trail_section_head,총알 머리 (모드가 그림)
trail_head_inactive,적용 안 됨 — 위의 [게임 기본 궤적 숨기기]를 켜세요
trail_head_turn_on,지금 켜기
trail_section_glow,총알 발광체 (게임 원본 빛)
trail_glow_active,적용 중 — 배율 1 = 원본 그대로
trail_glow_inactive,적용 안 됨 — 발광체 조절을 켜세요
trail_glow_turn_on,지금 켜기
trail_glow_show,발광체: 보임 → 숨기기
trail_glow_hide,발광체: 숨김 → 보이기
trail_field_glow_scale,발광체 · 크기
trail_field_glow_intensity,발광체 · 밝기
trail_glow_color_vanilla,발광체 색: 원본 그대로
trail_glow_color_follow_trail,발광체 색: 잔상 따라가기
trail_glow_color_custom,발광체 색: 따로 고른 색
trail_head_active,적용 중 — 총알 머리를 모드가 그립니다
trail_field_head_width,머리 · 굵기
trail_field_head_aspect,머리 · 길이 비율
trail_field_head_intensity,머리 · 밝기
trail_field_head_shape,머리 · 모양
trail_head_color_follow,잔상 색 따라가기
trail_head_color_separate,머리 색 따로 쓰기
trail_head_shape_capsule,캡슐 (원본과 비슷)
trail_head_shape_dot,점
trail_head_shape_diamond,마름모
trail_head_shape_arrow,화살촉
trail_head_shape_ring,고리
trail_head_shape_spark,반짝임
trail_random_applied,등급 {0} 잔상에 랜덤 조합을 적용했습니다 (시드 {1}).
trail_reset_done,탄환 잔상을 기본값으로 되돌렸습니다
window_title_muzzle,총구 화염 — 등급 {0} {1}
tab_muzzle,총구 화염
muzzle_section_grade,탄환 등급 선택
muzzle_follow_ammo,장착 탄환 등급 따라가기
muzzle_follow_state,탄환 따라감
muzzle_manual_state,직접 선택
muzzle_applies_to_loaded,→ 지금 장착한 탄환에 바로 반영됩니다
